"FID","Crop","Pst","Pen","Hst","Hen"
"1794","Maize","3.03","9",NA,NA
"1794","Yam","11.03","5",NA,NA
"1794","Cassava","3.03","9",NA,NA
"1794","Cowpea","9.03","10",NA,NA
"1794","Onion","11.03","1",NA,NA
"1794","Eggplant","5.03","1",NA,NA
"1794","Cabbage","8.03","12",NA,NA
"1794","Soy","7.03","12.48",NA,NA
"1795","Maize","3.03","9",NA,NA
"1795","Yam","11.03","5",NA,NA
"1795","Cassava","3.03","9",NA,NA
"1795","Cowpea","9.03","10",NA,NA
"1795","Onion","11.03","1",NA,NA
"1795","Eggplant","5.03","1",NA,NA
"1795","Cabbage","8.03","12",NA,NA
"1795","Soy","7.03","12.48",NA,NA
"1919","Maize","2.5","4.5","5.48","8"
"1919","Cassava","3.03","8","1.03","6"
"1919","Okra","3.48","6","3.03","9"
"1919","Eggplant","3.48","6","5.48","11"
"1919","Carrot","3.48","6","6.5","9"
"1919","Cabbage","3.48","6","6.03","9"
"1920","Maize","2.5","4.5","5.48","8"
"1920","Cassava","3.03","8","1.03","6"
"1920","Okra","3.48","6","3.03","9"
"1920","Eggplant","3.48","6","5.48","11"
"1920","Carrot","3.48","6","6.5","9"
"1920","Cabbage","3.48","6","6.03","9"
"1999","Maize","3.03","9",NA,NA
"1999","Yam","11.03","5",NA,NA
"1999","Cassava","3.03","9",NA,NA
"1999","Cowpea","9.03","10",NA,NA
"1999","Onion","11.03","1",NA,NA
"1999","Eggplant","5.03","1",NA,NA
"1999","Cabbage","8.03","12",NA,NA
"1999","Soy","7.03","12.48",NA,NA
"2000","Maize","3.03","9",NA,NA
"2000","Yam","11.03","5",NA,NA
"2000","Cassava","3.03","9",NA,NA
"2000","Cowpea","9.03","10",NA,NA
"2000","Onion","11.03","1",NA,NA
"2000","Eggplant","5.03","1",NA,NA
"2000","Cabbage","8.03","12",NA,NA
"2000","Soy","7.03","12.48",NA,NA
"2001","Maize","3.03","9",NA,NA
"2001","Yam","11.03","5",NA,NA
"2001","Cassava","3.03","9",NA,NA
"2001","Cowpea","9.03","10",NA,NA
"2001","Onion","11.03","1",NA,NA
"2001","Eggplant","5.03","1",NA,NA
"2001","Cabbage","8.03","12",NA,NA
"2001","Soy","7.03","12.48",NA,NA
"2002","Maize","3.03","9",NA,NA
"2002","Yam","11.03","5",NA,NA
"2002","Cassava","3.03","9",NA,NA
"2002","Cowpea","9.03","10",NA,NA
"2002","Onion","11.03","1",NA,NA
"2002","Eggplant","5.03","1",NA,NA
"2002","Cabbage","8.03","12",NA,NA
"2002","Soy","7.03","12.48",NA,NA
"2003","Maize","3.03","9",NA,NA
"2003","Yam","11.03","5",NA,NA
"2003","Cassava","3.03","9",NA,NA
"2003","Cowpea","9.03","10",NA,NA
"2003","Onion","11.03","1",NA,NA
"2003","Eggplant","5.03","1",NA,NA
"2003","Cabbage","8.03","12",NA,NA
"2003","Soy","7.03","12.48",NA,NA
"2004","Maize","3.03","9",NA,NA
"2004","Yam","11.03","5",NA,NA
"2004","Cassava","3.03","9",NA,NA
"2004","Cowpea","9.03","10",NA,NA
"2004","Onion","11.03","1",NA,NA
"2004","Eggplant","5.03","1",NA,NA
"2004","Cabbage","8.03","12",NA,NA
"2004","Soy","7.03","12.48",NA,NA
"2005","Maize","3.03","9",NA,NA
"2005","Yam","11.03","5",NA,NA
"2005","Cassava","3.03","9",NA,NA
"2005","Cowpea","9.03","10",NA,NA
"2005","Onion","11.03","1",NA,NA
"2005","Eggplant","5.03","1",NA,NA
"2005","Cabbage","8.03","12",NA,NA
"2005","Soy","7.03","12.48",NA,NA
"2006","Maize","3.03","9",NA,NA
"2006","Yam","11.03","5",NA,NA
"2006","Cassava","3.03","9",NA,NA
"2006","Cowpea","9.03","10",NA,NA
"2006","Onion","11.03","1",NA,NA
"2006","Eggplant","5.03","1",NA,NA
"2006","Cabbage","8.03","12",NA,NA
"2006","Soy","7.03","12.48",NA,NA
"2007","Maize","3.03","9",NA,NA
"2007","Yam","11.03","5",NA,NA
"2007","Cassava","3.03","9",NA,NA
"2007","Cowpea","9.03","10",NA,NA
"2007","Onion","11.03","1",NA,NA
"2007","Eggplant","5.03","1",NA,NA
"2007","Cabbage","8.03","12",NA,NA
"2007","Soy","7.03","12.48",NA,NA
"2008","Maize","3.03","9",NA,NA
"2008","Yam","11.03","5",NA,NA
"2008","Cassava","3.03","9",NA,NA
"2008","Cowpea","9.03","10",NA,NA
"2008","Onion","11.03","1",NA,NA
"2008","Eggplant","5.03","1",NA,NA
"2008","Cabbage","8.03","12",NA,NA
"2008","Soy","7.03","12.48",NA,NA
"2009","Maize","3.03","9",NA,NA
"2009","Yam","11.03","5",NA,NA
"2009","Cassava","3.03","9",NA,NA
"2009","Cowpea","9.03","10",NA,NA
"2009","Onion","11.03","1",NA,NA
"2009","Eggplant","5.03","1",NA,NA
"2009","Cabbage","8.03","12",NA,NA
"2009","Soy","7.03","12.48",NA,NA
"2125","Maize","2.5","4.5","5.48","8"
"2125","Cassava","3.03","8","1.03","6"
"2125","Okra","3.48","6","3.03","9"
"2125","Eggplant","3.48","6","5.48","11"
"2125","Carrot","3.48","6","6.5","9"
"2125","Cabbage","3.48","6","6.03","9"
"2126","Maize","2.5","4.5","5.48","8"
"2126","Cassava","3.03","8","1.03","6"
"2126","Okra","3.48","6","3.03","9"
"2126","Eggplant","3.48","6","5.48","11"
"2126","Carrot","3.48","6","6.5","9"
"2126","Cabbage","3.48","6","6.03","9"
"2127","Maize","2.5","4.5","5.48","8"
"2127","Cassava","3.03","8","1.03","6"
"2127","Okra","3.48","6","3.03","9"
"2127","Eggplant","3.48","6","5.48","11"
"2127","Carrot","3.48","6","6.5","9"
"2127","Cabbage","3.48","6","6.03","9"
"2204","Maize","3.03","9",NA,NA
"2204","Yam","11.03","5",NA,NA
"2204","Cassava","3.03","9",NA,NA
"2204","Cowpea","9.03","10",NA,NA
"2204","Onion","11.03","1",NA,NA
"2204","Eggplant","5.03","1",NA,NA
"2204","Cabbage","8.03","12",NA,NA
"2204","Soy","7.03","12.48",NA,NA
"2205","Maize","3.03","9",NA,NA
"2205","Yam","11.03","5",NA,NA
"2205","Cassava","3.03","9",NA,NA
"2205","Cowpea","9.03","10",NA,NA
"2205","Onion","11.03","1",NA,NA
"2205","Eggplant","5.03","1",NA,NA
"2205","Cabbage","8.03","12",NA,NA
"2205","Soy","7.03","12.48",NA,NA
"2206","Maize","3.03","9",NA,NA
"2206","Yam","11.03","5",NA,NA
"2206","Cassava","3.03","9",NA,NA
"2206","Cowpea","9.03","10",NA,NA
"2206","Onion","11.03","1",NA,NA
"2206","Eggplant","5.03","1",NA,NA
"2206","Cabbage","8.03","12",NA,NA
"2206","Soy","7.03","12.48",NA,NA
"2207","Maize","3.03","9",NA,NA
"2207","Yam","11.03","5",NA,NA
"2207","Cassava","3.03","9",NA,NA
"2207","Cowpea","9.03","10",NA,NA
"2207","Onion","11.03","1",NA,NA
"2207","Eggplant","5.03","1",NA,NA
"2207","Cabbage","8.03","12",NA,NA
"2207","Soy","7.03","12.48",NA,NA
"2208","Maize","3.03","9",NA,NA
"2208","Yam","11.03","5",NA,NA
"2208","Cassava","3.03","9",NA,NA
"2208","Cowpea","9.03","10",NA,NA
"2208","Onion","11.03","1",NA,NA
"2208","Eggplant","5.03","1",NA,NA
"2208","Cabbage","8.03","12",NA,NA
"2208","Soy","7.03","12.48",NA,NA
"2209","Maize","3.03","9",NA,NA
"2209","Yam","11.03","5",NA,NA
"2209","Cassava","3.03","9",NA,NA
"2209","Cowpea","9.03","10",NA,NA
"2209","Onion","11.03","1",NA,NA
"2209","Eggplant","5.03","1",NA,NA
"2209","Cabbage","8.03","12",NA,NA
"2209","Soy","7.03","12.48",NA,NA
"2210","Maize","3.03","9",NA,NA
"2210","Yam","11.03","5",NA,NA
"2210","Cassava","3.03","9",NA,NA
"2210","Cowpea","9.03","10",NA,NA
"2210","Onion","11.03","1",NA,NA
"2210","Eggplant","5.03","1",NA,NA
"2210","Cabbage","8.03","12",NA,NA
"2210","Soy","7.03","12.48",NA,NA
"2211","Maize","3.03","9",NA,NA
"2211","Yam","11.03","5",NA,NA
"2211","Cassava","3.03","9",NA,NA
"2211","Cowpea","9.03","10",NA,NA
"2211","Onion","11.03","1",NA,NA
"2211","Eggplant","5.03","1",NA,NA
"2211","Cabbage","8.03","12",NA,NA
"2211","Soy","7.03","12.48",NA,NA
"2212","Maize","3.03","9",NA,NA
